Nome,Precos
['Cerveja PATAGONIA WEISSE Garrafa 740ML'],"['R$12,99']"
['Cerveja Black Princess Gold 355ml'],"['R$4,39']"
['Cerveja HEINEKEN Zero Álcool Lata 350ml'],"['R$4,67']"
['Cerveja BOHEMIA Lata 350ml'],"['R$3,09']"
['Cerveja Dinamarquesa FAXE Royal Export Lata 1 Litro'],"['R$34,99']"
['Cerveja Goose Island IPA 355ml Long Neck'],"['R$9,99']"
['Cerveja BRAHMA Zero Lata 350ml'],"['R$3,59']"
['Cerveja PATAGONIA AMBER LAGER Garrafa 740ML'],"['R$12,99']"
['Cerveja PATAGONIA Amber Lager Lata 473ml'],"['R$6,49']"
['Cerveja Lager Premium Puro Malte Zero Álcool Heineken Garrafa 330ml'],"['R$5,29']"
['Cerveja Brahma Chopp Pilsen 269ml Lata'],"['R$2,49']"
['Cerveja Premium Witbier PRAYA 600ml'],"['R$12,99']"
['Cerveja MARTINA Artesanal Witbier Garrafa 300ml'],"['R$8,99']"
['Cerveja Goose Island Midway Long Neck 355ml'],"['R$8,99']"
['Cerveja MORLAND Old Speckled Hen Lata 500ml'],"['R$24,99']"
['Cerveja Stella Artois Puro Malte 350ml Lata'],"['R$4,19']"
['Cerveja Amstel Ultra Garrafa 275ml'],"['R$3,99']"
['Cerveja Puro Malte TIGER Lata 350ml'],"['R$3,39']"
['Cerveja AMSTEL Puro Malte Latão 473ml'],"['R$4,19']"
['Kit com 6 Cervejas BLUE MOON Garrafa 355m Cada'],"['R$59,94']"
['Cerveja Irlandesa GUINNESS Draught Lata 440ml - Pack com 24 unidades'],"['R$525,60']"
['Cerveja Blondine Tropical Cajá Garrafa 500ml'],"['R$33,99']"
['Cerveja Skol Pilsen 269ml Lata'],"['R$2,39']"
['Cerveja MARTINA Artesanal Session Ipa Garrafa 300ml'],"['R$9,09']"
['Cerveja Invicta New Senssesion Garrafa 500ml'],"['R$19,99']"
['Cerveja CONTI Malzbier Lata 350ml'],"['R$2,10']"
['Cerveja EISENBAHN Pilsen Long Neck Garrafa 355ml com 12 Unidades'],"['R$51,48']"
['Kit 4 Cervejas EISENBAHN Pilsen Long Neck Garrafa 355ml + Mix de Nuts com Castanha QUALITÁ 200g'],"['R$39,65']"
['Cerveja Mexicana SOL Garrafa 330ml - Caixa com 24 Unidades'],"['R$102,96']"
['Cerveja Lager Premium Madalena Garrafa 600ml'],"['R$20,99']"
['Kit 1 Cerveja COLORADO DEMOISEL Garrafa 600ML + 2 Chocolate 60% Cacau Montblanc 80g'],"['R$46,97']"
['Cerveja MARTINA Artesanal Session Ipa Garrafa 600ml'],"['R$18,99']"
['Cerveja Pilsen Samba Lata 269ml'],"['R$2,19']"
"[""Cerveja Fuller's London Pride Garrafa 500ml""]","['R$35,99']"
['Cerveja FABRICA 1959 WITBIER Garrafa 500ml'],"['R$11,49']"
['Cerveja 2 Cabeças Pudim 473ml'],"['R$26,49']"
['Cerveja 1500 Puro Malte Garrafa 600ml'],"['R$6,89']"
['Cerveja Session IPA Puro Malte Dom Hanks Dom Haus Garrafa 600ml'],"['R$22,79']"
['Cerveja Weiss Prius Prime Garrafa 600ml'],"['R$24,99']"
['Kit Pizza Artesanal Calabrese Seara Gourmet 450g + Ketchup Heinz Squeeze 397g + 6 Cervejas Becks Puro Malte 350ml Lata'],"['R$74,02']"
['Kit 6 Cerveja BECKS 350 ML Lata + Pizza Artesanal Calabrese SEARA Gourmet 450g'],"['R$63,53']"
['kit 12 Cerveja Budweiser Long neck 330 ml + 1 Hambúrguer Big de Picanha WESSEL Caixa 400g'],"['R$81,87']"
['Kit com 15 Cervejas SKOL Lata 269ml Cada + Sacola Cooler'],"['R$77,84']"
['Cerveja TUPINIQUIM Polimango Ipa Lata 350ml'],"['R$14,99']"
['Cerveja SKOL Puro Malte Lata 269ml'],"['R$2,49']"
['Cerveja Summit APA Tupiniquim Garrafa 350ml'],"['R$13,99']"
['Cerveja Praya Witbier Lata 269ml'],"['R$5,99']"
['Cerveja 2 Cabeças ZÉ 500ml'],"['R$30,99']"
['Cerveja 2 Cabeças Café com Bolinho 473ml'],"['R$26,49']"
['Cerveja 2 Cabeças Feijoada 473ml'],"['R$30,99']"
['Cerveja Session IPA Puro Malte Dom Hanks Dom Haus Lata 350ml'],"['R$16,99']"
['Cerveja APA Puro Malte Dom Lennon Dom Haus Garrafa 600ml Mosaic Edition'],"['R$23,79']"
['Cerveja American Ipa Hoppy Revolution Killbrew 500ml'],"['R$26,49']"
['Cerveja Goose Island Midway 350ml'],"['R$6,99']"
['Cerveja Patagonia Amber Lager 350ml'],"['R$4,99']"
['Cerveja Velhas Virgens Indie Man Garrafa 500ml'],"['R$24,99']"
"['Cerveja Skol, Pilsen 350ml Lata Pack C/12']","['R$33,48']"
['Cerveja Weizenbock Pikantus Erdinger Garrafa 500ml'],"['R$29,99']"
['Cerveja COLORADO Ribeirão Lager Long Neck 355ml'],"['R$5,99']"
['Cerveja BLONDINE Prost Weiss 500ml'],"['R$19,99']"
['Cerveja INVICTA Saison À Trois Garrafa 500ml'],"['R$19,99']"
['Cerveja LEUVEN Belgian Ipa DRAGON Garrafa 500ml'],"['R$24,99']"
['Kit com 2 Cervejas Alemã ERDINGER WEISSBRAU 500ml com 1 Copo de Vidro'],"['R$115,99']"
['Cerveja DOM HAUS Dom Quixote Weizen 600ml'],"['R$22,99']"
['Cerveja LEUVEN Weissbier ARCHER Garrafa 500ml'],"['R$21,99']"
['Cerveja Blondine Felina 350ml '],"['R$11,99']"
['Cerveja Alemã PAULANER sem Álcool Lata 500ml'],"['R$21,99']"
['Cerveja Kölsch Ginjo Puro Malte Prius Prime Garrafa 600ml'],"['R$19,99']"
['Cerveja American Pale Ale Prime Bier Garrafa 600ml'],"['R$24,99']"
['Cerveja FRANZISKANER Weissbier Dunkel Garrafa 500ml'],"['R$19,99']"
['Cerveja Alemã HOFBRÃU MUNCHEN Garrafa 500ml'],"['R$29,49']"
['Cerveja Alemã Escura ERDINGER Weibbier Dunkel Garrafa 500ml'],"['R$29,79']"
"[""Cerveja Fuller's Golden Pride Garrafa 500ml""]","['R$42,99']"
['Cerveja 2 Cabeças Seu ZÉ 500ml\t'],"['R$30,99']"
